#marque,modele,reference fournisseur,reference sap,designation taille mL mL,nombre produit par carton,prix achat,prix vente,code barre
HUGO BOSS,HUGO WOMAN EXTREME,82459410,82454634,HUGO WOMAN EXTREME EDP VAPO 50 mL,36,58.4,73,737052987521
HUGO BOSS,HUGO WOMAN EXTREME,82461722,82454635,HUGO WOMAN EXTREME EDP VAPO 75 mL,24,74.4,93,737052987569
HUGO BOSS,HUGO WOMAN,82448804,82448804,HUGO WOMAN EDP VAPO 30 mL,45,37.6,47,737052893839
HUGO BOSS,HUGO WOMAN,82448805,82448805,HUGO WOMAN EDP VAPO 50 mL,36,54.4,68,737052893877
HUGO BOSS,HUGO WOMAN,82448806,82448806,HUGO WOMAN EDP VAPO 75 mL,24,68,85,737052893914
HUGO BOSS,HUGO DEEP RED,82425303,9280,HUGO DEEP RED EDP 50 mL,27,48.8,61,737052683522
HUGO BOSS,HUGO DEEP RED,82445010,9281,HUGO DEEP RED EDP 90 mL,24,64,80,737052683553
HUGO BOSS,HUGO DEEP RED,80968357,9285,HUGO DEEP RED SHOWER GEL 150 mL,36,18.4,23,737052683577
HUGO BOSS,WOMAN,6005597,9240,BOSS WOMAN EDP 50 mL,21,48,60,737052055978
HUGO BOSS,WOMAN,6005798,9241,BOSS WOMAN EDP 90 mL,24,60.8,76,737052057989
HUGO BOSS,BOSS ORANGE,82455635,82435222,BOSS ORANGE WOMAN EDP 50 mL,36,58.4,73,737052649757
HUGO BOSS,BOSS ORANGE,81117891,81117891,BOSS ORANGE WOMAN EDT 30 mL,,38.4,48,737052238050
HUGO BOSS,BOSS ORANGE,82419392,82419392,BOSS ORANGE SUNSET EDT 50 mL,36,49.6,62,737052412214
HUGO BOSS,HUGO XX,82445227,9390,HUGO XX EDT 100 mL,24,60.8,76,737052130729
HUGO BOSS,BOSS THE SCENT,82465675,82453688,BOSS THE SCENT EDT VAPO 50 mL,20,56,70,737052972268
HUGO BOSS,BOSS THE SCENT,82465672,82453689,BOSS THE SCENT EDT VAPO 100 mL,12,76,95,737052972305
HUGO BOSS,BOSS THE SCENT,82461573,82453691,BOSS THE SCENT EDT VAPO 200 mL,15,101.6,127,737052972343
HUGO BOSS,BOSS THE SCENT,82454873,82454873,BOSS THE SCENT DEO SPRAY 150 mL,,20.4,25.5,737052992785
HUGO BOSS,BOSS THE SCENT,82454899,82454899,BOSS THE SCENT DEO STICK 75 mL,,20.4166666666667,24.5,737052993546
HUGO BOSS,BOSS BOTTLED INTENSE,82463174,82463174,BOSS BOTTLED INTENSE EDP VAPO 50 mL,36,57.6,72,8005610258430
HUGO BOSS,BOSS BOTTLED INTENSE,82463175,82463175,BOSS BOTTLED INTENSE EDP VAPO 100 mL,30,76,95,8005610258461
HUGO BOSS,BOSS BOTTLED OUD,82457994,82451290,BOSS BOTTLED OUD EDP VAPO 50 mL,36,69.6,87,737052933221
HUGO BOSS,BOSS BOTTLED OUD,82457995,82451291,BOSS BOTTLED OUD EDP VAPO 100 mL,24,91.2,114,737052933269
HUGO BOSS,BOSS BOTTLED,82457982,82442999,BOSS BOTTLED EDT VAPO 30 mL,25,42.4,53,737052351001
HUGO BOSS,BOSS BOTTLED,82443000,9350,BOSS BOTTLED EDT VAPO 50 mL,36,52.8,66,737052351018
